name	P1	P2	P3	P4	P5	P6
Clostridium manihotivorum	0	0	48	0	0	0
Clostridium pasteurianum	131	0	128	99	0	111
Clostridium perfringens	0	0	789	0	0	0
Clostridium saccharobutylicum	0	0	212	0	0	0
Clostridium saccharoperbutylacetonicum	96	0	419	237	0	0
Clostridium sp. DL-VIII	280	0	512	322	237	155
Clostridium sp. JS66	0	0	202	0	0	0
Clostridium sp. OS1-26	289	200	1271	1027	528	602
Clostridium sporogenes	0	0	0	877	0	0
Cnuibacter physcomitrellae	0	0	346	0	294	0
Cohnella candidum	141	104	198	0	0	0
Cohnella herbarum	0	61	0	0	0	0
Cohnella sp. LGH	252	125	71	0	0	0
Collimonas fungivorans	0	215	0	0	0	0
Collinsella aerofaciens	0	0	0	827	0	0
Comamonas antarctica	0	2659	0	0	0	0
Comamonas flocculans	0	0	760	0	0	0
Comamonas sp. ZM22	0	0	0	0	0	2591
Comamonas testosteroni	4882	0	0	6152	6315	0
Conexibacter sp. DBS9H8	889	1336	2382	1169	815	436
Conexibacter sp. S30A1	1871	2149	3417	1853	1045	727
Conexibacter sp. SYSU D00693	4273	5949	17710	3653	5284	2913
Conexibacter woesei	15981	15950	24506	10336	7244	3735
Corallococcus coralloides	604	388	2048	703	273	189
Corallococcus macrosporus	244	184	254	715	354	0
Corallococcus sp. EGB	361	159	316	384	296	293
Corallococcus sp. NCRR	110	164	1625	327	493	165
Corynebacterium bovis	0	0	205	0	0	0
Corynebacterium cyclohexanicum	0	0	1242	662	0	0
Corynebacterium fournieri	0	0	0	280	0	0
Corynebacterium halotolerans	0	0	0	161	0	0
Corynebacterium nuruki	0	328	0	0	0	0
Corynebacterium sphenisci	0	0	0	0	0	258
Couchioplanes caeruleus	413	416	990	531	722	0
Crenobacter cavernae	986	0	564	685	833	0
Croceibacterium sp. D39	0	0	0	261	0	0
Crossiella sp. CA-258035	708	825	149	526	795	310
Cryobacterium sp. LW097	0	0	174	343	0	0
Cupriavidus basilensis	4200	7351	6474	5172	5186	8727
Cupriavidus campinensis	1297	973	0	945	1858	1656
Cupriavidus gilardii	0	1901	1714	2886	3618	1005
Cupriavidus metallidurans	31057	42702	8380	19735	11961	39913
Cupriavidus necator	3118	4302	4589	5433	5774	10236
Cupriavidus neocaledonicus	0	0	0	0	0	372
Cupriavidus oxalaticus	2246	1910	1889	2797	5190	8884
Cupriavidus pauculus	3043	9204	7963	8507	9423	10737
Cupriavidus pinatubonensis	3878	8386	12698	3224	3201	5667
Cupriavidus sp. BIC8F	593	421	658	1002	487	2646
Cupriavidus sp. EM10	5493	8294	1785	0	0	7576
Cupriavidus sp. KK10	0	748	726	0	940	2979
Cupriavidus sp. MP-37	0	0	0	0	0	410
Cupriavidus sp. P-10	407	338	164	0	694	398
Cupriavidus sp. WKF15	4076	5317	21859	9819	7333	9178
Cupriavidus taiwanensis	1795	2712	3098	3049	2621	3518
Curtobacterium flaccumfaciens	0	0	0	974	0	0
Curtobacterium sp. 458	0	0	850	0	6040	0
Curtobacterium sp. BH-2-1-1	0	0	648	0	377	0
Curtobacterium sp. DN_7.5	0	0	1253	0	722	0
Curtobacterium sp. SGAir0471	0	0	0	0	670	0
Cyanobium sp. NIES-981	0	0	0	144	0	0
Cylindrospermum stagnale	0	0	81	0	0	0
Cystobacter fuscus	406	311	6841	596	844	327
Cytobacillus dafuensis	15708	17587	3033	1235	1151	1476
Cytobacillus firmus	0	0	725	0	0	0
Cytobacillus kochii	0	0	0	577	0	0
Cytobacillus solani	515	0	388	0	0	0
Dactylosporangium aurantiacum	2535	2293	2669	3344	2158	1468
Dactylosporangium fulvum	5014	5769	1963	3996	5211	3992
Dactylosporangium matsuzakiense	574	580	403	453	927	253
Dactylosporangium roseum	1709	1519	1745	1206	1056	938
Dactylosporangium vinaceum	739	634	499	906	842	455
Dechloromonas denitrificans	226	342	264	415	0	0
Dechloromonas sp. A34	0	0	0	383	0	0
Defluviicoccus vanus	1568	1135	1882	4733	4497	1481
Deinococcus aetherius	0	0	82	57	199	56
Deinococcus geothermalis	0	0	84	0	0	0
Deinococcus irradiatisoli	0	0	0	61	0	0
Deinococcus peraridilitoris	0	0	31	0	0	0
Deinococcus sp. AB2017081	0	65	0	76	0	54
Deinococcus sp. AJ005	0	0	28	0	0	0
Deinococcus taeanensis	0	0	35	0	0	0
Delftia tsuruhatensis	0	11383	12135	0	0	0
Demequina sediminis	0	0	0	456	0	0
Dermatobacter hominis	1934	1254	2185	1927	1612	980
Desulfarculus baarsii	0	0	183	0	0	211
Desulfitobacterium metallireducens	0	0	121	0	0	0
Desulfobacca acetoxidans	0	0	0	146	0	0
Desulfocurvibacter africanus	0	0	0	0	156	0
Desulfoglaeba alkanexedens	0	0	63	52	108	0
Desulfomonile tiedjei	14	0	17	22	25	0
Desulfosarcina alkanivorans	0	0	94	0	0	0
Desulfosarcina ovata	0	0	0	0	24	0
Desulfosarcina widdelii	0	0	38	0	0	0
Desulfovibrio piger	0	0	109	0	0	0
Desulfuromonas soudanensis	0	0	97	156	0	0
Desulfuromonas sp. DDH964	0	0	117	0	154	0
Desulfuromonas versatilis	119	0	153	316	228	0
Devosia sp.	287	239	0	131	172	0
Devosia sp. A16	187	262	364	431	0	0
Devosia sp. FJ2-5-3	0	0	0	0	268	0
Devosia sp. RR2S18	0	0	0	0	0	150
Dietzia psychralcaliphila	201	0	0	0	0	0
Dietzia sp. oral taxon 368	0	0	0	356	0	0
Dietzia timorensis	0	0	0	344	0	0
Dokdonella koreensis	751	692	470	402	343	432
Duganella dendranthematis	320	0	0	0	0	0
Dyella caseinilytica	277	386	339	217	193	153
Dyella japonica	287	0	393	0	4452	926
Dyella sp. BiH032	294	755	793	235	518	478
Dyella sp. GSA-30	0	0	0	117	234	0
Dyella sp. M7H15-1	0	0	0	0	218	0
Dyella telluris	457	457	270	442	2108	786
Dyella terrae	184	0	0	0	1075	247
Dyella thiooxydans	0	421	0	0	471	0
Edaphobacter flagellatus	334	325	218	343	703	195
Edaphobacter lichenicola	531	806	1006	880	973	857
Edaphobacter sp. 12200R-103	115	244	183	241	115	128
Edaphobacter sp. 4G125	118	0	117	104	202	94
Eggerthella lenta	312	0	0	401	0	0
Egibacter rhizosphaerae	178	228	216	107	222	0
Egicoccus halophilus	183	443	200	171	392	0
Eleftheria terrae	245	0	170	605	441	0
Elioraea tepida	222	228	286	167	218	262
Enhydrobacter sp.	34879	35567	21961	36420	27564	23170
Ensifer adhaerens	749	1145	782	1121	1467	883
Ensifer canadensis	309	0	243	417	360	0
Ensifer sp. PDNC004	0	0	0	0	445	0
Enterobacter cloacae	0	0	0	0	9265	0
Epidermidibacterium keratini	0	0	384	0	709	844
Ereboglobus luteus	0	0	0	96	80	0
Erythrobacter litoralis	0	0	311	0	0	0
Euzebya pacifica	0	133	63	112	110	0
Ferribacterium limneticum	296	0	0	387	244	0
Ferrigenium kumadai	0	0	207	6245	372	140
Ferrovibrio terrae	302	199	245	304	377	154
Fictibacillus enclensis	0	0	2058	0	0	0
Fictibacillus sp. KU28468	0	0	165	0	0	0
Fimbriimonas ginsengisoli	14	32	25	16	22	17
Flavisolibacter ginsenosidimutans	0	0	86	0	0	0
Flavisolibacter tropicus	0	0	0	0	251	0
Fontisphaera persica	331	406	352	683	645	455
Frankia alni	0	397	241	226	223	171
Frankia casuarinae	287	332	169	204	306	201
Frankia sp. ArI3	351	207	114	243	0	0
Frankia sp. QA3	325	302	128	258	311	0
Frateuria edaphi	0	0	0	510	0	0
Frateuria soli	0	0	333	0	331	0
Friedmanniella luteola	181	345	433	292	486	0
Frigoribacterium sp. NBH87	0	0	222	0	0	0
Frigoriglobus tundricola	2312	2305	4291	3224	4572	2694
Frondihabitans sp. PAMC 28766	0	172	0	0	0	0
Gemmata massiliana	332	340	676	364	664	462
Gemmata obscuriglobus	640	1035	1810	1217	1687	993
Gemmata sp. SH-PL17	427	360	823	491	569	454
Gemmatimonas aurantiaca	75	56	66	29	0	45
Gemmatimonas groenlandica	48	90	67	107	96	56
Gemmatimonas phototrophica	54	51	42	54	58	0
Gemmatirosa kalamazoonensis	2072	2588	4816	2989	4570	1713
Geoalkalibacter halelectricus	85	0	75	0	0	0
Geobacter benzoatilyticus	0	0	213	392	342	0
Geobacter metallireducens	177	0	361	149	277	184
Geobacter pickeringii	346	0	536	502	1087	260
Geobacter sp. DSM 9736	0	0	227	267	506	94
Geobacter sp. FeAm09	327	0	354	227	514	140
Geobacter sp. SVR	291	0	373	145	497	170
Geobacter sulfurreducens	737	0	625	2047	1098	505
Geodermatophilus obscurus	2873	2363	2551	1675	1584	717
Geodermatophilus sp. DSM 44513	800	768	1403	418	472	298
Geomonas nitrogeniifigens	0	0	302	0	0	298
Geomonas oryzisoli	0	0	0	263	0	0
Geomonas paludis	0	0	0	326	284	0
Geomonas sp. RF6	580	453	487	701	699	265
Geomonas subterranea	0	0	309	0	287	344
Georgenia faecalis	0	0	237	0	0	0
Georgenia sp. TF02-10	559	0	305	672	482	0
Georgenia wutianyii	0	0	212	0	0	0
Georgenia yuyongxinii	415	0	262	0	514	235
Georhizobium profundi	0	0	523	544	0	0
Geotalea daltonii	0	0	176	141	459	104
Geotalea uraniireducens	455	0	1766	2409	2863	887
Geothrix oryzae	0	0	95	236	0	0
Geothrix sp.	151	0	114	209	494	167
Geothrix sp. 21YS21S-2	0	0	86	210	236	0
Geothrix sp. 21YS21S-4	0	0	0	201	0	0
Gephyromycinifex aptenodytis	0	0	63	0	0	0
Gilvimarinus sp. DA14	0	69	0	0	0	0
Gimesia chilikensis	34	0	0	0	53	0
Gimesia panareensis	25	0	0	50	0	0
Glaciibacter superstes	0	0	0	72	0	65
Gloeobacter kilaueensis	0	0	0	36	0	0
Gloeobacter morelensis	0	0	0	0	39	0
Gloeobacter violaceus	0	39	0	0	0	0
Gluconacetobacter diazotrophicus	0	0	433	560	0	446
Gordonia insulae	0	144	0	0	0	0
Gordonia iterans	0	0	174	0	287	0
Gordonia jinghuaiqii	0	0	76	0	0	0
Gordonia mangrovi	172	130	0	0	0	0
Gordonia phthalatica	462	0	0	0	0	0
Gordonia polyisoprenivorans	0	0	257	236	365	0
Gordonia pseudamarae	200	0	0	0	0	0
Gordonia sp. KTR9	0	0	0	116	0	0
Gordonia sp. NB41Y	0	244	81	0	0	0
Gordonia sp. X0973	0	372	123	0	0	0
Gordonia terrae	0	0	94	248	0	0
Gottfriedia acidiceleris	25203	19742	12869	15596	25653	10367
Granulibacter bethesdensis	0	0	194	0	0	0
Granulicella mallensis	84	164	185	196	227	76
Granulicella sp. 5B5	161	104	133	177	198	89
Granulicella sp. WH15	205	221	351	226	351	135
Granulicella tundricola	70	38	150	0	145	46
Gryllotalpicola protaetiae	168	0	94	175	0	0
Guyparkeria halophila	0	0	230	302	0	330
Haematobacter massiliensis	0	0	0	2024	0	0
Haliangium ochraceum	782	933	663	1388	2347	824
Halomonas aestuarii	0	0	0	282	0	0
Halomonas sp. JS92-SW72	0	0	510	0	0	0
Halomonas sp. THAF5a	0	0	288	0	0	0
Halotia branconii	0	0	78	0	0	0
Hartmannibacter diazotrophicus	517	543	276	457	568	649
Herbaspirillum frisingense	0	253	161	0	0	0
Herbaspirillum hiltneri	0	0	0	0	246	0
Herbaspirillum huttiense	0	0	348	0	0	0
Herbaspirillum rubrisubalbicans	196	0	0	0	355	0
Herbaspirillum sp. WKF16	501	0	502	530	0	0
Herbiconiux sp. SALV-R1	175	0	144	0	0	0
Heyndrickxia vini	0	0	231	0	0	0
Hoeflea phototrophica	0	189	0	0	0	0
Horticoccus luteus	0	50	33	0	0	0
Hoyosella subflava	0	0	34	0	0	0
Humibacter ginsenosidimutans	0	0	190	0	267	0
Humisphaera borealis	82	83	163	93	113	63
Hungatella xylanolytica	0	0	47	0	0	0
Hydrogenibacillus sp. N12	0	0	45	85	101	77
Hydrogenophaga crocea	0	0	1094	0	0	909
Hydrogenophaga sp. BPS33	0	0	0	0	6947	0
Hydrogenophaga sp. PBC	3484	0	0	0	0	0
Hydrogenophaga sp. YM1	0	0	0	0	947	0
Hydrogenophaga taeniospiralis	0	0	0	770	0	204
Hymenobacter busanensis	0	0	311	0	0	0
Hypericibacter adhaerens	2217	2822	1733	1372	2645	1762
Hypericibacter terrae	668	944	729	780	1664	937
Hyphomicrobium denitrificans	718	1010	917	527	751	605
Hyphomicrobium nitrativorans	244	234	282	0	323	189
Hyphomicrobium sp. DMF-1	353	277	238	158	255	135
Hyphomicrobium sp. MC1	115	60	142	257	185	60
Iamia majanohamensis	826	996	970	1140	628	428
Iamia sp. SCSIO 61187	599	1055	1077	823	739	553
Ideonella dechloratans	1565	0	1086	0	0	527
Ilumatobacter coccineus	107	140	188	338	228	165
Immundisolibacter cernigliae	1453	1224	1040	1132	1230	0
Indioceanicola profundi	0	363	214	0	435	0
Intrasporangium calvum	489	558	902	548	630	297
Isoptericola variabilis	450	0	413	0	621	0
Isosphaera pallida	92	137	113	74	97	134
Janibacter indicus	0	0	307	0	0	0
Janibacter limosus	296	356	0	0	0	0
Janibacter melonis	0	341	307	0	347	0
Janibacter sp. CX7	0	0	0	427	548	0
Jannaschia sp. GRR-S6-38	0	0	0	0	171	0
Jannaschia sp. W003	0	0	0	198	0	0
Janthinobacterium agaricidamnosum	0	262	145	0	0	0
Janthinobacterium sp. J1-1	0	0	0	1641	0	0
Jatrophihabitans sp. GAS493	175	168	240	223	134	167
Jatrophihabitans sp. SB3-54	1759	1992	3456	1664	1348	510
Jatrophihabitans telluris	353	95	247	182	135	120
Jeongeupia sp. USM3	325	0	322	498	0	0
Jiangella alkaliphila	1533	2396	753	2095	1797	1113
Jiangella sp. DSM 45060	389	733	428	407	894	353
Jiella pelagia	397	0	0	0	0	0
Kaistia sp. 32K	1554	944	1005	664	2059	1103
Kaustia mangrovi	621	430	387	616	825	392
Kibdelosporangium phytohabitans	650	780	348	617	692	125
Kineococcus radiotolerans	392	701	323	0	500	0
Kiritimatiella glycovorans	0	0	1423	0	0	0
Kitasatospora aureofaciens	10870	7344	2310	6302	4984	6476
Kitasatospora fiedleri	696	1161	601	659	1299	995
Kitasatospora setae	1373	875	631	1899	990	996
Kitasatospora sp. CM 4170	3902	1617	3084	2692	2611	2726
Kitasatospora sp. HUAS 3-15	25154	20117	4756	9017	6368	12170
Kitasatospora sp. MMS16-BH015	5652	3963	2355	5603	5075	4493
Kitasatospora sp. NA04385	1940	927	641	1222	1596	618
Kitasatospora sp. YST-16	1435	935	673	1161	1184	2182
Klebsiella aerogenes	0	0	0	0	0	28538
Klebsiella quasipneumoniae	0	0	0	0	0	4221
Klebsiella sp. A52	0	0	0	0	0	44487
Kluyvera ascorbata	0	0	0	0	0	966
Kocuria flava	421	0	233	0	0	0
Kocuria rosea	230	353	220	224	0	0
Kocuria turfanensis	0	280	135	483	0	0
Kribbella flavida	1230	1381	548	1825	1424	649
Kribbella qitaiheensis	853	1643	579	1472	1365	443
Kribbella sp. CA-293567	223	775	312	932	495	498
Ktedonosporobacter rubrisoli	373	308	1257	519	616	316
Kutzneria albida	1265	1378	886	1569	1245	860
Kutzneria buriramensis	18076	19909	9702	12813	15824	8419
Kutzneria chonburiensis	5814	4249	3538	3268	4286	1839
Kutzneria sp. CA-103260	16749	15585	15343	16484	14139	9540
Kytococcus sedentarius	570	0	0	0	0	0
Labilithrix luteola	2875	2705	1840	2903	2811	1740
Labrenzia sp. PHM005	0	0	0	0	149	0
Labrenzia sp. VG12	0	173	0	0	245	0
Labrys sp. KNU-23	527	1372	1592	4993	2646	463
Lacipirellula limnantheis	123	54	122	87	114	122
Lacipirellula parvula	36	92	32	78	117	49
Lacrimispora sphenoides	225	101	110	210	0	93
Lacrimispora xylanolytica	58	91	76	0	0	0
Lacunisphaera limnophila	77	87	134	90	90	0
Leifsonia shinshuensis	797	3133	434	246	205	302
Leifsonia sp. 21MFCrub1.1	0	0	751	0	0	0
Leifsonia sp. PS1209	0	0	182	0	0	0
Leifsonia sp. ZF2019	0	0	104	189	0	0
Leifsonia xyli	0	103	0	0	139	0
Lentzea guizhouensis	268	946	619	351	187	354
Lentzea sp. HUAS12	524	882	685	632	484	285
Leptodesmis sichuanensis	0	0	116	0	0	0
Leptolyngbya sp. 7M	223	244	220	131	565	102
Leptospira sp. severe_002	9660	10047	3164	14615	18701	9705
Leptothrix cholodnii	0	417	493	747	1794	320
Leucobacter allii	198	0	212	0	0	0
Lichenicola cladoniae	0	83	152	0	220	76
Lignipirellula cremea	99	110	141	80	151	89
Limimaricola variabilis	0	0	0	0	492	0
Limnochorda pilosa	30	34	34	64	103	0
Limnoglobus roseus	577	381	986	495	758	531
Luteibacter aegosomatissinici	0	0	0	1319	0	0
Luteibacter pinisoli	0	0	0	164	0	0
Luteibacter rhizovicinus	0	0	0	0	142	0
Luteimicrobium xylanilyticum	512	0	166	0	0	0
Luteimonas fraxinea	0	0	0	0	0	254
Luteimonas sp. JM171	0	275	0	0	0	0
Luteimonas sp. MC1750	0	0	305	0	0	0
Luteipulveratus mongoliensis	0	0	121	0	0	0
Luteitalea pratensis	606	1072	586	1343	1723	879
Luteitalea sp. TBR-22	1285	1805	1621	2592	2708	1746
Luteolibacter ambystomatis	0	0	0	44	0	0
Luteolibacter luteus	0	0	37	0	30	0
Luteolibacter sp. SL250	0	0	0	37	0	0
Lysinibacillus agricola	2843	2172	925	1309	0	535
Lysinibacillus capsici	0	0	1327	0	0	0
Lysinibacillus fusiformis	996	751	0	0	865	0
Lysinibacillus pakistanensis	789	0	233	0	0	0
Lysinibacillus sp. Ag94	1271	518	651	483	98	326
Lysinibacillus sp. OF-1	516	0	0	0	0	0
Lysobacter alkalisoli	0	0	0	231	247	0
Lysobacter antibioticus	0	0	280	0	211	0
Lysobacter arenosi	0	0	192	0	0	0
Lysobacter auxotrophicus	0	0	285	0	0	0
Lysobacter capsici	270	0	288	724	405	0
Lysobacter enzymogenes	499	1096	609	1262	578	459
Lysobacter soli	0	422	0	262	424	0
Lysobacter solisilvae	275	0	0	0	0	0
Lysobacter sp. CJ11	0	0	0	0	106	0
Lysobacter sp. K5869	0	0	0	422	0	0
Lysobacter sp. KIS68-7	0	0	0	238	0	0
Lysobacter sp. TY2-98	262	0	860	210	226	0
Lysobacter terrestris	0	0	316	0	0	0
Magnetospira sp. QH-2	0	91	0	0	0	0
Magnetospirillum gryphiswaldense	245	0	298	236	0	289
Magnetospirillum sp. ME-1	1519	0	0	0	0	0
Magnetospirillum sp. XM-1	0	0	1238	0	0	0
Maioricimonas rarisocia	100	85	137	141	193	111
Maliibacterium massiliense	0	0	0	1120	0	0
Marinicauda algicola	2162	0	0	866	0	0
Marinithermus hydrothermalis	0	0	0	0	0	57
Marisediminicola antarctica	176	274	0	0	0	0
Martelella endophytica	0	0	0	0	397	0
Martelella lutilitoris	0	0	903	0	0	0
Martelella mediterranea	1734	2555	2019	0	1589	0
Massilia forsythiae	0	0	1052	783	943	0
Massilia putida	401	442	1251	0	343	350
Massilia sp. LPB0304	0	0	273	0	0	0
Massilia sp. R2A-15	0	0	0	363	0	204
Massilia sp. REN29	204	0	166	430	264	0
Massilia sp. WG5	882	0	8370	817	2030	0
Massilia sp. erpn	0	0	0	0	476	0
Massilia varians	0	0	525	0	0	0
Massilia violaceinigra	0	282	304	322	315	162
Melittangium boletus	200	282	778	389	598	222
Mesorhizobium amorphae	0	322	572	441	0	0
Mesorhizobium ciceri	0	0	0	0	1681	0
Mesorhizobium erdmanii	0	0	0	0	646	0
Mesorhizobium huakuii	949	1640	0	0	1116	947
Mesorhizobium loti	903	0	780	0	0	1224
Mesorhizobium onobrychidis	640	648	0	0	0	420
Mesorhizobium opportunistum	452	0	326	329	518	538
Mesorhizobium sp. 113-1-2	0	0	0	0	542	385
Mesorhizobium sp. 131-2-1	729	460	0	463	783	424
Mesorhizobium sp. 8	578	363	325	415	0	0
Mesorhizobium sp. AA22	0	0	0	621	0	0
Mesorhizobium sp. AR02	886	613	530	422	1271	1290
Mesorhizobium sp. AR07	3619	2413	1412	2093	1006	1920
Mesorhizobium sp. AR10	315	254	0	0	403	314
Mesorhizobium sp. B1-1-8	1197	1309	779	679	703	617
Mesorhizobium sp. B2-1-1	245	0	243	288	483	0
Mesorhizobium sp. B2-1-8	315	0	0	0	0	0
Mesorhizobium sp. B2-8-5	620	595	1392	1068	607	0
Mesorhizobium sp. B4-1-4	256	0	380	0	0	0
Mesorhizobium sp. C399B	0	0	0	0	0	1098
Mesorhizobium sp. DCY119	0	359	0	415	469	0
Mesorhizobium sp. INR15	0	0	135	156	211	0
Mesorhizobium sp. J8	354	395	1486	446	571	0
Mesorhizobium sp. L-2-11	0	1260	0	0	0	435
Mesorhizobium sp. L-8-10	938	1027	0	1116	851	0
Mesorhizobium sp. L-8-3	1194	1798	1329	1180	1614	844
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	246	288	460	269	0	0
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	0	504	1022	740	1000	397
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	0	755	1148	0	700	0
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	823	1026	1067	781	679	1295
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	0	0	2947	0	0	0
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	0	0	3705	0	0	0
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	0	0	2146	0	0	0
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	296	752	248	0	756	0
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	0	0	487	348	0	0
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	0	0	0	0	398	0
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	0	0	0	249	0	0
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	406	675	0	323	0	331
Mesorhizobium sp. NZP2077	0	0	0	427	0	0
Mesorhizobium sp. PAMC28654	391	333	182	0	0	318
Mesorhizobium sp. Pch-S	0	454	0	334	339	202
Mesorhizobium sp. WR6	299	254	328	359	406	138
Mesorhizobium sp. WSM4904	0	0	793	0	0	0
Mesorhizobium terrae	683	1173	0	0	0	2819
Mesoterricola sediminis	0	0	158	174	0	0
Mesoterricola silvestris	0	0	110	289	0	0
Metabacillus sediminilitoris	0	0	714	1683	0	0
Methylacidimicrobium sp. AP8	0	110	82	120	177	0
Methylibium petroleiphilum	0	1385	0	1460	0	0
Methylibium sp. Pch-M	0	0	328	0	459	0
Methylobacter sp. YRD-M1	0	0	78	158	0	0
Methylobacterium aquaticum	967	847	1771	795	1229	559
Methylobacterium brachiatum	0	0	606	521	746	446
Methylobacterium currus	436	837	2790	572	1432	416
Methylobacterium durans	759	578	2683	325	1630	195
Methylobacterium indicum	571	0	1124	398	1116	469
Methylobacterium mesophilicum	358	0	5170	404	1383	178
Methylobacterium nodulans	2233	2927	3533	1970	3631	3063
Methylobacterium organophilum	378	414	304	0	410	0
Methylobacterium oryzae	0	0	8477	0	1130	0
Methylobacterium radiodurans	393	390	1414	0	0	305
Methylobacterium radiotolerans	0	0	15353	0	3092	0
Methylobacterium sp. 17Sr1-1	685	0	2660	594	935	406
Methylobacterium sp. C1	0	0	3781	0	0	0
Methylobacterium sp. FF17	545	341	321	582	1845	1309
Methylobacterium sp. NMS14P	0	0	614	0	0	0
Methylobacterium sp. SyP6R	0	0	350	0	477	434
Methylobacterium sp. WL1	276	0	324	223	0	332
Methylobacterium tardum	443	0	21476	597	792	0
Methylobacterium terrae	431	0	706	929	930	0
Methylocaldum marinum	434	0	0	355	0	0
Methylocaldum szegediense	373	352	172	659	1617	511
Methylocapsa sp. D3K7	3869	4955	3607	4140	3635	3036
Methyloceanibacter caenitepidi	136	255	157	252	289	138
Methyloceanibacter sp. wino2	301	153	140	149	285	333
Methylocella silvestris	601	170	307	196	387	423
Methylocella tundrae	256	330	258	608	699	506
Methylococcus sp. EFPC2	0	0	152	432	140	107
Methylococcus sp. Mc7	0	0	0	210	0	0
Methylocystis bryophila	874	725	3637	37725	9605	10253
Methylocystis heyeri	391	302	240	1681	705	225
Methylocystis iwaonis	183	0	774	3174	603	606
Methylocystis parvus	284	453	1050	3552	654	545
Methylocystis rosea	237	248	776	2843	575	461
Methylocystis sp. MJC1	405	451	1139	3586	779	978
Methylocystis sp. SB2	0	0	0	577	309	0
Methylocystis sp. SC2	0	0	285	552	319	221
Methylogaea oryzae	0	0	0	225	0	0
Methyloligella sp. GL2	1209	1137	792	944	1258	504
Methylomagnum ishizawai	0	122	193	306	105	0
Methylomicrobium album	0	0	0	147	0	0
Methylomonas sp. EFPC3	0	0	0	0	0	48
Methylomusa anaerophila	0	0	31	0	110	0
Methylorubrum extorquens	2020	862	2577	1547	1778	2136
Methylorubrum populi	1802	870	3388	2016	1192	1197
Methylorubrum sp. B1-46	313	0	0	0	344	0
Methylosinus sp. C49	450	432	573	1347	658	565
Methylosinus trichosporium	285	340	551	784	469	234
Methyloversatilis sp. RAC08	0	252	0	0	0	124
Methylovirgula ligni	0	251	289	418	232	283
Methylovirgula sp. HY1	141	146	83	157	88	129
Microbacterium azadirachtae	760	2089	250	1372	0	1461
Microbacterium cremeum	0	0	0	183	0	0
Microbacterium elymi	0	0	87	0	209	0
Microbacterium esteraromaticum	0	0	144	0	0	0
Microbacterium hominis	0	0	910	694	644	0
Microbacterium lushaniae	0	0	99	0	0	0
Microbacterium luteolum	197	0	0	0	0	0
Microbacterium oleivorans	0	0	95	0	0	0
Microbacterium oxydans	0	0	284	373	356	0
Microbacterium protaetiae	0	0	121	317	227	226
Microbacterium pygmaeum	0	0	59	0	0	0
Microbacterium rhizosphaerae	1146	3164	701	683	216	744
Microbacterium sp.	0	0	77	0	0	0
Microbacterium sp. 10M-3C3	0	0	1298	0	0	0
Microbacterium sp. 4R-513	0	205	319	0	0	0
Microbacterium sp. AB	0	0	94	0	0	0
Microbacterium sp. ABRD28	0	0	72	0	0	0
Microbacterium sp. H1-D42	132	0	0	0	0	0
Microbacterium sp. JZ31	224	0	0	0	0	0
Microbacterium sp. No. 7	451	0	441	589	0	0
Microbacterium sp. XT11	0	0	114	0	0	0
Microbacterium sp. cx-55	0	0	0	0	166	0
Microbacterium terricola	0	0	124	0	0	0
Microbacterium testaceum	285	0	0	262	250	0
Microcella humidisoli	0	0	121	0	0	0
Micrococcus luteus	0	0	870	0	1246	0
Micrococcus porci	0	0	324	0	0	0
Microlunatus elymi	0	80	163	0	69	0
Microlunatus phosphovorus	284	150	208	131	216	0
Microlunatus sagamiharensis	374	356	1449	234	268	212
Microlunatus soli	77	0	130	550	807	78
Microlunatus sp. Gsoil 973	52	0	98	71	0	0
Micromonospora aurantiaca	2388	2362	2577	3867	0	0
Micromonospora auratinigra	333	499	1973	623	0	489
Micromonospora carbonacea	0	0	402	0	0	0
Micromonospora chokoriensis	240	0	219	192	0	0
Micromonospora coriariae	330	553	257	514	501	292
Micromonospora coxensis	0	0	390	306	463	447
Micromonospora craniellae	1305	1060	199	326	466	290
Micromonospora echinaurantiaca	1192	1783	507	1342	1114	741
Micromonospora echinofusca	576	758	715	380	535	762
Micromonospora echinospora	555	544	5572	922	859	233
Micromonospora endophytica	407	320	123	227	243	228
Micromonospora ferruginea	0	957	988	313	0	0
Micromonospora halotolerans	916	890	2960	1317	976	1289
Micromonospora inositola	2969	2535	1262	2188	2880	2418
Micromonospora krabiensis	0	428	473	506	468	0
Micromonospora maris	560	475	350	481	336	0
Micromonospora narathiwatensis	5584	3538	1962	3477	2186	3168
Micromonospora profundi	261	240	119	157	234	0
Micromonospora purpureochromogenes	1216	1075	864	1089	1216	509
Micromonospora sagamiensis	0	473	867	369	307	550
Micromonospora siamensis	516	0	383	949	841	461
